Name,Rarity,Type,Lore,Attunement,Weight,Properties,Effects,Value
Sapphire Buckler,very rare,shield,The Sapphire Buckler is a magical shield made of sapphire. It is said to be unbreakable and able to deflect even the most powerful attacks.,requires attunement,6 lb.,AC +2,"This crystalline blue shield is fashioned from a sapphire dragon's scale and is created to aid in rooting out the influence of Aberrations. While wielding the shield, you have resistance to psychic and thunder damage. Also, when you take damage from a creature that is within 5 feet of you, you can use your reaction to deal 2d6 thunder damage to that creature.As an action, you can use the shield to help you locate Aberrations until the end of your next turn. If any Aberrations are within 1 mile of you, the shield emits a low humming tone for a moment, and you know the direction of all Aberrations within that range. Once this property is used, it can't be used again until the next dawn.",
Scale Mail,Mundane,medium armor,Scale mail is a type of armor that is made from overlapping plates of metal that are riveted or sewn together. The armor is designed to protect the wearer from blows from weapons that are either blunt or sharp.,,45 lb.,AC 14 + Dex (max 2),"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.",50 gp
Scaled Ornament,varies,wondrous item,"The Scaled Ornament is a magical item that is said to have been created by the god of the hunt, Tyr. The ornament is made from the scales of a dragon, and it is said to have the power to grant its wearer the ability to move quickly and stealthily through the forest.",requires attunement,,,"This ornament can be jewelry, a cloak, or another wearable accessory. It appears to be fashioned from a dragon's scale, tooth, or claw, or it incorporates images in those shapes.Multiple variations of this item exist, as listed below Slumbering Scaled OrnamentStirring Scaled OrnamentWakened Scaled OrnamentAscendant Scaled Ornament",
Scarab of Protection,legendary,wondrous item,The Scarab of Protection is a magical amulet that grants the wearer protection from harm. It is said to be made from the scales of a dragon that was slain by a god.,requires attunement,,,"If you hold this beetle-shaped medallion in your hand for 1 round, an inscription appears on its surface revealing its magical nature. It provides two benefits while it is on your person You have advantage on saving throws against spells.The scarab has 12 charges. If you fail a saving throw against a necromancy spell or a harmful effect originating from an undead creature, you can use your reaction to expend 1 charge and turn the failed save into a successful one. The scarab crumbles into powder and is destroyed when its last charge is expended.",
Scholar's Pack,Mundane,adventuring gear,The Scholar's Pack is a small bag that is used to store books and other items. It is made from leather and has a strap that can be worn around the neck.,,10 lb.,,Includes a backpacka book of lorea bottle of inkan ink pen10 sheets of parchmenta little bag of sanda small knife.,40 gp
Scimitar,Mundane, martial melee weapon,The scimitar is a versatile weapon that can be used for a variety of purposes. It is a versatile weapon that can be used for a variety of purposes. It is a versatile weapon that can be used for a variety of purposes. It is a versatile weapon that can be used for a variety of purposes.,,3 lb.,"1d6, slashing, - finesse, light"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",25 gp
Scimitar of Speed,very rare,"scimitar, martial melee weapon",The Scimitar of Speed is a magical weapon that grants its user increased speed and agility.,requires attunement,3 lb.,"1d6, slashing, - finesse, light","You gain a +2 bonus to attack and damage rolls made with this magic weapon. In addition, you can make one attack with it as a bonus action on each of your turns. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons.",
Scissors of Shadow Snipping,rare,wondrous item,The scissors of shadow snipping are a magical item that allow the user to cut through shadows with ease. They are said to have been created by a shadow sorcerer who used them to cut through the shadows of his enemies to kill them.,requires attunement by a fey or a spellcaster,,,"As an action, you make a few snips with these iron shears and cause the shadow of a Humanoid creature you can see within 5 feet of you to detach from its source. If the creature is unwilling to give up its shadow, it can make a DC 15 Charisma saving throw, retaining its shadow on a success. Whether or not the shadow is snipped, this property of the scissors can't be used again until the next dawn.The detached shadow is rooted to the spot where it was snipped until you use a bonus action to cause it to behave in one of the following ways, either of which is possible only if you can see the shadow You control the shadow's movements and can make the shadow move up to 30 feet across a solid or liquid surface, in any direction you choose (including along vertical surfaces), provided it remains within your sight at all times. The shadow is harmless and unable to be harmed, and it is invisible in darkness. It can't speak, and it doesn't require air, sleep, or nourishment.You can relinquish control of the shadow, at which point it becomes autonomous and behaves as the DM wishes. It uses the shadow stat block in the Monster Manual, but its creature type is Fey instead of Undead. A creature whose Strength is reduced to 0 by this shadow's Strength Drain attack does not die but falls unconscious instead. The creature regains consciousness and all its Strength after finishing a short or long rest.A creature whose shadow has detached from it is cursed. If a shadowless creature is subjected to any spell that ends a curse, or if its detached shadow is reduced to 0 hit points, the detached shadow disappears, and the creature regains its normal shadow instantly.",
Scorpion Armor,rare,heavy armor,"The Scorpion Armor is a suit of armor made from the scales and flesh of a giant scorpion. The armor is incredibly tough and resistant to most attacks, making it perfect for those who need to stay safe on the battlefield.",requires attunement,65 lb.,AC 18,"This suit of plate armor is fashioned from giant scorpion chitin. While wearing this armor, you gain the following benefits The armor improves your combat readiness, granting you a +5 bonus to initiative as long as you aren't incapacitated.The armor doesn't impose disadvantage on your Dexterity (Stealth) checks.The armor doesn't impose disadvantage on saving throws made to resist the effects of extreme heat (see chapter 5 of the Dungeon Master's Guide). Curse. This armor is cursed. Whenever you don or doff it, you must make a DC 15 Constitution saving throw, taking 100 (10d10 + 45) poison damage on a failed save, or half as much damage on a successful one. Only a wish spell can remove the armor's curse.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet.",
Scribe's Pen,common,wondrous item,The Scribe's Pen is a magical writing instrument that allows its user to inscribe magical spells onto parchment.,requires attunement by a creature with the Mark of Scribing,,,"You can use this pen to write on any surface. You decide whether the writing is visible or invisible, but the writing is always visible to a person with the Mark of Scribing.Any creature with the Mark of Scribing can use an action to touch the invisible writing, making it visible to all.If you use the pen to write on a creature that isn't a construct, the writing fades after 7 days.",
Scroll of Protection,rare,scroll,"The Scroll of Protection is a magical item that grants its user protection from harm. When activated, the scroll creates a magical field that blocks all physical and magical attacks. The scroll can be used multiple times and lasts for a set amount of time.",,,,"Multiple variations of this item exist, as listed below Scroll of Protection from AberrationsScroll of Protection from BeastsScroll of Protection from CelestialsScroll of Protection from ElementalsScroll of Protection from FeyScroll of Protection from FiendsScroll of Protection from PlantsScroll of Protection from Undead",
Scroll of Protection from Aberrations,rare,scroll,The Scroll of Protection from Aberrations is a magical item that grants the user protection from creatures of the aberration type.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents aberrations from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that an aberration would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Beasts,rare,scroll,The Scroll of Protection from Beasts is a magical item that allows the user to protect themselves from attacks from beasts.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents beasts from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a beast would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Celestials,rare,scroll,The Scroll of Protection from Celestials is a magical item that grants the user protection from celestial creatures.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents celestials from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a celestial would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Elementals,rare,scroll,The Scroll of Protection from Elementals is a magical item that allows the user to avoid being affected by elemental attacks.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents elementals from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that an elemental would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Fey,rare,scroll,The Scroll of Protection from Fey is a magical item that grants the user protection from fey creatures.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents fey from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a fey would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Fiends,rare,scroll,"The Scroll of Protection from Fiends is a magical item that grants the user protection from fiends. Fiends are creatures that are typically evil and harmful, and this scroll can help protect the user from their attacks.",,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents fiends from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a fiend would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Plants,rare,scroll,The Scroll of Protection from Plants is a magical item that allows the user to avoid being harmed by plants.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents plants from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that a plant would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Protection from Undead,rare,scroll,The Scroll of Protection from Undead is a magical item that allows the user to protect themselves from undead creatures.,,,,"Using an action to read the scroll encloses you in an invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents undead from entering or affecting anything within the cylinder. The cylinder moves with you and remains centered on you. However, if you move in such a way that an undead would be inside the cylinder, the effect ends. A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.",
Scroll of Tarrasque Summoning,legendary,scroll,The Scroll of Tarrasque Summoning is a powerful magical item that allows the user to summon a Tarrasque. The Tarrasque is a legendary creature that is said to be the most powerful creature in the world.,,,,Using an action to read the scroll causes the tarrasque (see the creature's entry in the Monster Manual) to appear in an unoccupied space you can see within 1 mile of you. The tarrasque disappears when it drops to 0 hit points and is hostile toward all creatures other than itself.,
Scroll of the Comet,legendary,scroll,The Scroll of the Comet is a magical item that was created by an unknown wizard. The scroll is said to be able to summon a comet that will bring good luck and fortune to whoever uses it.,,,,"By using an action to read the scroll, you cause a comet to fall from the sky and crash to the ground at a point you can see up to 1 mile away from you. You must be outdoors when you use the scroll, or nothing happens and the scroll is wasted.The comet creates a 50-foot-deep, 500-foot-radius crater on impact. Any creature in that radius must make a DC 20 Dexterity saving throw, taking 30d10 force damage on a failed saving throw, or half as much damage on a successful one. All structures in the crater are destroyed, as are all nonmagical objects that aren't being worn or held.",
Sealing Wax,Mundane,adventuring gear,Sealing wax is a common item used to seal objects. It is a sticky substance that can be used to attach objects together or to a surface.,,,,,5 sp
Seeker Dart,uncommon,"dart, range, simple weapon","The Seeker Dart is a magical projectile that is used to track down and capture targets. It is made from a special alloy that allows it to move through any substance, including air, and it has a special tracking system that allows it to home in on its target.",,¼ lb.,"1d4, piercing, - finesse, thrown (20/60 ft.)","This small dart is decorated with designs like windy spirals that span the length of its shaft.When you whisper the word ""seek"" and hurl this dart, it seeks out a target of your choice within 120 feet of you. You must have seen the target before, but you don't need to see it now. If the target isn't within range or if there is no clear path to it, the dart falls to the ground, its magic spent and wasted. Otherwise, elemental winds guide the dart instantly through the air to the target. The dart can pass though openings as narrow as 1 inch wide and can change direction to fly around corners.When the dart reaches its target, the target must succeed on a DC 16 Dexterity saving throw or take 1d4 piercing damage and 3d4 lightning damage. The dart's magic is then spent, and it becomes an ordinary dart. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.",
Sekolahian Worshiping Statuette,common,wondrous item,"The Sekolahian Worshiping Statuette is a religious item used by Sekolahian cultists. It is a small, statuette of a human figure with outstretched arms and a serene expression. The cultists believe that the figure is a representation of Sekolah, the goddess of learning.",,,,"Skillfully carved from sandstone, this 1-foot-tall statuette depicts a shark twisting through the water with its mouth open. If any Tiny sea-dwelling animal is within 1 inch of the statuette's mouth, the shark flashes to life and deals 1 piercing damage to it. The shark can deal damage in this way no more than once per hour.",
Selesnya Guild Signet,uncommon,ring,The Selesnya Guild Signet is a signet ring that is worn by Selesnya priests. It is said to have the power to heal wounds and protect its wearer from harm.,requires attunement,,,"This ring, adorned with the symbol of Selesnya, allows you to cast charm person. A guild signet is sometimes awarded to a guild member whose renown score in that guild is 5 or higher, as a reward for performing special services for the guild. Aside from its magical properties, the ring is also an indicator of Selesnya's recognition and favor.A signet has 3 charges, and it regains 1d3 expended charges daily at dawn. While wearing it, you can expend 1 charge to cast the associated spell (save DC 13).",
Selesnya Keyrune,rare,wondrous item,The Selesnya Keyrune is a powerful artifact that was created by the Selesnya Conclave. The keyrune is a key that can open any door in the multiverse.,requires attunement by a member of the Selesnya guild,,,"Carved from white and green marble in the shape of a wolf's head, this keyrune transforms into a dire wolf. The wolf persists for 8 hours. Its Intelligence is 6, and it understands Elvish and Sylvan but can't speak those languages. While it is within 1 mile of you, you can communicate with each other telepathically.When you use an action to speak the item's command word and place the keyrune on the ground in an unoccupied space within 5 feet of you, the keyrune transforms into a dire wolf. If there isn't enough space for the creature, the keyrune doesn't transform.The creature is friendly to you, your companions, and other members of your guild (unless those guild members are hostile to you). It understands your languages and obeys your spoken commands. If you issue no commands, the creature takes the Dodge action and moves to avoid danger.At the end of the duration, the creature reverts to its keyrune form. It reverts early if it drops to 0 hit points or if you use an action to speak the command word again while touching it. When the creature reverts to its keyrune form, it can't transform again until 36 hours have passed.",
Sending Stone,uncommon,wondrous item,The Sending Stone is a magical item that allows a person to send a message to anyone they know who is on the same plane of existence. The Sending Stone is also capable of sending messages to people who are not on the same plane of existence.,,,,"Also at rank 1, you are given use of an Acquisitions Incorporated sending stone, an uncommon magic item that resembles a gemstone in a bold setting. It functions like a normal sending stone, except that it has no matching stone and allows communication with Head Office, specific secretarians you know, and the secretarian nearest your location. You must succeed on a DC 15 Intelligence (Arcana) check to establish contact. Once the stone is successfully used, it can't be used again until the next dawn.Making contact with another secretarian assumes that they are in possession of their own sending stone.Quirks of Your Sending Stoned8quirk1It's a flip stone.2It gets great reception everywhere except in your headquarters.3It sometimes picks up other magical conversations.4It's the perfect size, shape, and weight to be used as a skipping stone.5It heats up when you use it, to the extent that it once burned through your gloves.6It has an obnoxious ringtone that you can't work out how to change.7It fails to notify you of incoming messages except for a faint pulsating glow.8It's voice activated, so that every time you talk to someone, it tries to send a message to someone else. Rumor Mill. Also at rank 2, whenever your franchise begins a major quest or mission, make a DC 15 Intelligence (History) check. On a success, you can learn up to three rumors related to creatures or organizations involved in the mission, which come to you through your sending stone. These rumors reflect current or historical knowledge possessed by Acquisitions Incorporated or the organization's many contacts. Improved Rumor Mill. At rank 3, when you use your Rumor Mill feature, the DM provides you with a sense of which parts of a particular rumor are inaccurate, if any. You do not necessarily learn the truth behind those false rumors.",
Sending Stones,uncommon,wondrous item,The Sending Stones are a magical item used to communicate with other planes of existence.,,,,"Sending stones come in pairs, with each smooth stone carved to match the other so the pairing is easily recognized. While you touch one stone, you can use an action to cast the sending spell from it. The target is the bearer of the other stone. If no creature bears the other stone, you know that fact as soon as you use the stone and don't cast the spell.Once sending is cast through the stones, they can't be used again until the next dawn. If one of the stones in a pair is destroyed, the other one becomes nonmagical.",
Sentinel Shield,uncommon,armor shield,"The Sentinel Shield is a large shield made of heavy metal. It is decorated with a stylized eagle on the front, and a shield with a cross on the back. The shield is large enough to protect the user from most attacks, and is often used by paladins and other holy warriors.",,6 lb.,AC +2,"While holding this shield, you have advantage on initiative rolls and Wisdom (Perception) checks. The shield is emblazoned with a symbol of an eye.",
Serpent Scale Armor,uncommon,medium armor scale mail,Serpent Scale Armor is a suit of armor made from the scales of a serpent. It is said to be incredibly protective and give its wearer the ability to move with stealthy grace.,,45 lb.,AC 14 + Dex,"This suit of magic armor is made from shimmering scales. While wearing it, you can apply your full Dexterity modifier (instead of a maximum of +2) when determining your Armor Class. In addition, this armor does not impose disadvantage on your Dexterity (Stealth) checks.",
Serpent Venom,Mundane,"adventuring gear, poison injury","Serpent Venom is a powerful poison that can kill even the most powerful creatures. It is said to come from the mouths of serpents, and it is said to be the deadliest poison in the world.",,,,"This poison must be harvested from a dead or incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.",200 gp
Serpent's Fang,rare,"longsword, martial melee weapon","The Serpent's Fang is a magical item that is said to have been forged from the fangs of a serpent that was slain by a god. The Fang is said to have the power to heal wounds, and to grant its bearer the ability to speak with serpents.",,3 lb.,"1d8, slashing, - versatile (1d10)",This single-edged magic sword is made from the scrimshawed fang of a giant serpent. Its hilt changes shape to adjust to the grasp of any creature that picks it up. The weapon deals an extra 1d10 poison damage to any target it hits. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.,
Shadowfell Brand Tattoo,rare,wondrous item tattoo,"The Shadowfell Brand Tattoo is a magical tattoo that was created by the goddess Mystra. It is said that the tattoo can bestow upon its wearer the power to cast spells that are based in the Shadowfell, the plane of darkness.",requires attunement,,,"Produced by a special needle, this magic tattoo is dark in color and abstract. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Shadow Essence. You gain darkvision with a range of 60 feet, and you have advantage on Dexterity (Stealth) checks. Shadowy Defense. When you take damage, you can use your reaction to become insubstantial for a moment, halving the damage you take. Then the reaction can't be used again until the next sunset.",
Shadowfell Shard,rare,wondrous item,"The Shadowfell Shard is a powerful artifact that was created by the god of shadows, Nyarlathotep. The shard is said to be able to summon the shadows of the dead to do the user's bidding.",requires attunement by a sorcerer,1 lb.,,"This dull, cold crystal sits heavy and leaden, saturated by the Shadowfell's despair. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.When you use a Metamagic option on a spell while you are holding or wearing the shard, you can momentarily curse one creature targeted by the spell; choose one ability score, and until the end of your next turn, the creature has disadvantage on ability checks and saving throws that use that ability.",
Shard of the Ise Rune,very rare,wondrous item,"The Shard of the Ise Rune is a powerful artifact that was used by the Iseulti to seal away the dark god, Zargon. The rune is made up of three shards that were taken from the three sacred mountains of Ise: Mount Ise, Mount Ibuki, and Mount Haku.",requires attunement,,,"This shard of ice is long and slender, roughly the size of a dagger. The ise (ice) rune glows within it. The shard has the following properties, which work only while it's on your person. Frigid Touch. As an action, you can touch a body of water and freeze the water in a 10-foot-radius sphere around the spot you touched. Once you use this property, you can't use it again until you finish a short or long rest. Frost Friend. You have resistance to fire damage. Icy Mantle. As an action, you can touch yourself or another creature with water on your finger. The water creates an icy mantle of protection. The next time within the next minute that the target takes bludgeoning, slashing, or piercing damage, that damage is reduced to 0, and the mantle is destroyed. Once you use this property, you can't use it again until you finish a short or long rest. Winters Howl. As an action, you can cast sleet storm (spell save DC 17). You regain this ability after you finish a short or long rest. Gift of Frost. You can transfer the shard's magic to a nonmagical item—a cloak or a pair of boots-by tracing the ise rune there with your finger. The transfer takes 8 hours of work that requires the two items to be within 5 feet of each other. At the end, the shard is destroyed, and the rune appears in blue on the chosen item, which gains a benefit based on its form Cloak. The cloak is now a rare magic item that requires attunement. While wearing it, you have resistance to fire damage, and you have advantage on Dexterity (Stealth) checks made while in snowy terrain.Boots. The pair of boots is now a rare magic item that requires attunement. While wearing it, you ignore difficult terrain while walking, and you can walk on water.",
Shatterspike,uncommon,"longsword, martial melee weapon","The Shatterspike is a magical weapon that was once used by the elven god Eladrin. The Shatterspike is a long, slender staff made of purest crystal. The crystal is so clear that it appears to be made of glass. The staff is capped with a sharp, triangular point. The point is made of a material that seems to be made of shards of crystal. The staff is said to be able to cut through any substance.",requires attunement,3 lb.,"1d8, slashing, - versatile (1d10)","You have a +1 bonus to attack and damage rolls made with this magic weapon. If it hits an object, the hit is automatically a critical hit, and it can deal bludgeoning or slashing damage to the object (your choice). Further, damage from nonmagical sources can't harm the weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.",
Shatterstick,unknown,other,"The shatterstick is a magical weapon that was created by the wizard Zeddicus Zu'l Zorander. The shatterstick is a staff made of pure crystal that shatters on impact, causing devastating damage to its target.",,,,"A shatterstick is a nonmagical, 12-inch-long, 4-pound stake made of blue-tinged infernal iron mined on Cania, the eighth layer of the Nine Hells. When embedded in earth or pounded into solid rock, the stake emits a seismic vibration in a 20-foot radius centered on itself for 1 minute, shaking the ground in that area for the duration. When the effects ends, the shatterstick breaks apart, becoming useless, and all structures within 20 feet of it take 35 (10d6) bludgeoning damage.",
Shawm,Mundane,Instrument,"The shawm is a wind instrument that is typically played in a brass or woodwind ensemble. It is similar to the trumpet, but has a shorter bell.",,1 lb.,,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument.A bard can use a musical instrument as a spellcasting focus, substituting it for any material component that does not list a cost.Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20",2 gp
Shawm,Mundane,Instrument,"The shawm is a wind instrument that is typically played in a brass or woodwind ensemble. It is similar to the trumpet, but has a shorter bell.",,,,"A double-reed instrument similar to an oboe or a bassoon, popular with gnomes, who have developed some bellows-powered versions.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument.A bard can use a musical instrument as a spellcasting focus, substituting it for any material component that does not list a cost.Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20",
Sheep,Mundane,Trade Good,"Sheep are a common farm animal in the world of Dungeons and Dragons. They are often used as a means of transportation, as well as a source of food.",,,,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency.",2 gp
Shield,Mundane,armor shield,"Shields are typically made from wood, metal, or some other sturdy material. They are used to protect the user from harm. Shields are also used as a tool to block attacks.",,6 lb.,AC +2,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.,10 gp
Shield Guardian Amulet,rare,wondrous item,The Shield Guardian Amulet is a powerful amulet that wards off harm and grants the wearer protection from all forms of attack. The amulet is made from a powerful magical material that wards off harm and grants the wearer protection from all forms of attack.,requires attunement by a humanoid,,,"The amulet is a 4-inch-wide disk composed of silver-framed wood, with a rune carved into its face. A detect magic spell reveals a magical aura of enchantment around the amulet.Every shield guardian has an amulet magically linked to it. A shield guardian can have only one corresponding amulet, and if that amulet is destroyed, the shield guardian is incapacitated until a replacement amulet is created.A shield guardian's amulet is subject to direct attack if it isn't being worn or carried. It has AC 10, 10 hit points, and immunity to poison and psychic damage. Crafting an amulet requires 1 week and costs 1,000 gp in components.A shield guardian's solitary focus is to protect the amulet's wearer. The amulet's wearer can command the guardian to attack its enemies or to guard the wielder against attack. If an attack threatens to injure the wearer, the construct can magically absorb the blow into its own body, even at a distance.A humanoid that attunes to this amulet knows the distance and direction of the shield guardian, provided the amulet and the guardian are on the same plane of existence. As an action, the amulet's attuned wearer can try to reactivate the shield guardian, doing so with a successful DC 20 Intelligence (Arcana) check. Reactivation can only be attempted while the amulet and guardian are within 10 feet of each other.",
Shield of Expression,common,armor shield,"The Shield of Expression is a magical shield that allows its user to control and manipulate emotions. It is said to have been created by the god of emotions, Emotion, and is one of the most powerful shields in existence.",,6 lb.,AC +2,"The front of this shield is shaped in the likeness of a face. While bearing the shield, you can use a bonus action to alter the face's expression.",
Shield of Far Sight,rare,armor shield,The Shield of Far Sight is a magical shield that allows its user to see far distances.,,6 lb.,AC +2,"A mind flayer skilled at crafting magic items creates a shield of far sight by harvesting an eye from an intelligent humanoid and magically implanting it on the outer surface of a nonmagical shield. The shield becomes a magic item once the eyes is implanted, whereupon the mind flayer can give the shield to a thrall or hang it on a wall in its lair. As long as the shield is on the same plane of existence as its creator, the mind flayer can see through the shield's eye, which has darkvision out to a range of 60 feet. While peering through this magical eye, the mind flayer can use its Mind Blast action as though it were standing behind the shield.If a shield of far sight is destroyed, the mind flayer that created it is blinded for 2d12 hours.",
Shield of Missile Attraction,rare,armor shield,The Shield of Missile Attraction is a magical shield that deflects missiles and other projectiles.,requires attunement,6 lb.,AC +2,"While holding this shield, you have resistance to damage from ranged weapon attacks. Curse. This shield is cursed. Attuning to it curses you until you are targeted by the remove curse spell or similar magic. Removing the shield fails to end the curse on you. Whenever a ranged weapon attack is made against a target within 10 feet of you, the curse causes you to become the target instead.",
