Prompt,Completion,,
Generate ESB ItemName:,Giant's Seal,and it's \nDescription: ,"Sacred seal depicting the one eyed god of the Fire Giants, adorned with braids of red hair.>>Sacred seal wielded by Fire Monks and Prelates, this catalyst enhances Giants' Flame incantations."
Generate ESB ItemName:,Glaive,and it's \nDescription: ,"This halberd with a large blade was a scythe refitted for battle.>>Designed for slicing, and inflicts slash damage."
Generate ESB ItemName:,Glintstone Kris,and it's \nDescription: ,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace.>>Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual."
Generate ESB ItemName:,Glintstone Staff,and it's \nDescription: ,"Staff with a glintstone embedded at the tip. A catalyst for casting sorceries. Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them."
Generate ESB ItemName:,Godskin Peeler,and it's \nDescription: ,Unique twinblade wielded by Godskin Apostles characterized by its disturbing design. One end features a sickle for slicing attacks while the other boasts a winding spike for boring into flesh.>>Much skill is required to wield this weapon due to its asymmetric nature.
Generate ESB ItemName:,Godskin Stitcher,and it's \nDescription: ,"Elegant piercing sword with a celadon colored blade wielded by Godskin Nobles.>>The nobles possess skill with the sword unmatched by any lowborn. Despite its size, successive attacks from this weapon are swifter than the eye can follow."
Generate ESB ItemName:,Godslayer's Greatsword,and it's \nDescription: ,Sacred sword of the Gloam-Eyed Queen who controlled the>>Godskin Apostles before her defeat at the hands of Maliketh.>>The black flames wielded by the apostles are channeled from this>>sword.
Generate ESB ItemName:,Godslayer's Seal,and it's \nDescription: ,"Sacred seal of the Godskin Apostles, inlaid with obsidian.>>Said to represent the manipulation of black flame, this catalyst enhances godslayer incantations."
Generate ESB ItemName:,Gold Tracer,and it's \nDescription: ,"Curved sword used by the Lord's Blade Ciaran, one of Gwyn's Four Knights. Ciaran brandishes her sword in a mesmerizing dance, etching the darkness with dire streaks of gold."
Generate ESB ItemName:,Golden Epitaph,and it's \nDescription: ,"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die.>>Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death."""
Generate ESB ItemName:,Golden Halberd,and it's \nDescription: ,"Weighty halberd forged of gold. Wielded by the Order of Tree Sentinels, heavily equipped knights. Deals holy damage.>>A masterfully crafted weapon that lives up to its heft, but is difficult for one mere human strength to wield."
Generate ESB ItemName:,Golden Order Greatsword,and it's \nDescription: ,"Greatsword made of light, modeled after the Elden Ring itself.>>Forged by King Consort Radagon to proudly symbolize the tenets of the Golden Order.>>One of the legendary armaments.>>Telltale signs betray that this was once the greatsword bequeathed to him by his first wife, Rennala."
Generate ESB ItemName:,Golden Order Seal,and it's \nDescription: ,A formless sacred seal depicting the ceremonial observation of Order. Enhances Golden Fundamentalist incantations. Fundamentalism is scholarship in all but name. Scales incantation using both intelligence and faith.
Generate ESB ItemName:,Golden Ritual Spear,and it's \nDescription: ,A ritual spear presented to Darkmoon Knights before Sulyvahn claimed the title of Pontiff.>>Can also be used as a staff. Sorceries cast using this weapon channel the wielder's faith.
Generate ESB ItemName:,Golem Axe,and it's \nDescription: ,An axe born from the soul of the Iron Golem guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo. Its powerful one-handed attack imitates the Golem's blade of wind but the heavy iron blade makes it quite unwieldy
Generate ESB ItemName:,Golem Greatbow,and it's \nDescription: ,"Greatbow of black stone crafted by a civilization now gone to>>ruin. Weapon of the Guardian Golem.>>Extremely heavy, this greatbow requires enormous strength just to>>draw, suggesting it was not designed for human use."
Generate ESB ItemName:,Golem's Halberd,and it's \nDescription: ,A great halberd of black stone crafted by a civilization now gone to ruin. Wielded by the Guardian Golem.
Generate ESB ItemName:,Gotthard Twinswords,and it's \nDescription: ,"The hunters known as the King's Black Hands wielded paired weapons. These belonged to Gotthard, who fled the castle.>>Gotthard rose quickly through the knighthood, no surprise to those who have witnessed his swordsmanship."
Generate ESB ItemName:,Gough's Greatbow,and it's \nDescription: ,"Greatbow used by Hawkeye Gough, of Lord Gwyn's Four Knights, for dragon slaying. This bow is larger than even those used by the famed Dragonslayers. Only their leader, Gough, had the strength to handle it."
Generate ESB ItemName:,Grafted Blade Greatsword,and it's \nDescription: ,"The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret. One of the legendary armaments. A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors."
Generate ESB ItemName:,Grafted Dragon,and it's \nDescription: ,"The embodiment of the power that still remained in the dragon's head that was granted to Godrick's left arm.>>The wielder's arm will take the form of a small dragon, sprouting sharp dragon fangs at the fist.>>This weapon cannot be two-handed."
Generate ESB ItemName:,Grand Lance,and it's \nDescription: ,"A Lance fashioned from rare geisteel, Designed for high-.ranking Drangleic Knights, hence the design>>''Geisteel equipment is of the finest make, but geisteel is so rare that very few of these weapons were actually used in combat.'''"
Generate ESB ItemName:,Grant,and it's \nDescription: ,A legendary weapon of the Way of White granted to an Undead paladin long ago. This mass of iron can only be lifted by those with inhuman strength but it is blessed and very effective against agents of Dark
Generate ESB ItemName:,Grave Scythe,and it's \nDescription: ,Greatscythe comprised of a large blade affixed to a crooked stick. Weapon wielded by the aged grave keepers who tend the forgotten graveyards throughout the Lands Between. This weapon is said to have served as a charm against evil spirits in times of old.
Generate ESB ItemName:,Gravel Stone Seal,and it's \nDescription: ,"Sacred seal made from Gravel Stone thought to be an ancient dragon scale. Enhances Dragon Cult incantations of the Royal Capital.>>The worship of the ancient dragons does not conflict with belief in the Erdtree. After all, this seal, and lightning itself, are both imbued with gold."
Generate ESB ItemName:,Gravelord Sword,and it's \nDescription: ,"Sword wielded only by servants of Gravelord Nito, the first of the dead. Crafted from the bones of the fallen. The miasma of death exudes from the sword, a veritable toxin to any living being."
Generate ESB ItemName:,Great Club,and it's \nDescription: ,Giant tree branch serves as a wooden club. Smashes enemies from upside the head. The leaping attack is a trademark of clubs and this giant club is no exception.
Generate ESB ItemName:,Great Club,and it's \nDescription: ,"An enormous club of hardwood. Wildly hammering foes with this>>striking weapon requires no dexterity; only brute force.>>While it may seem sacrilegious, this weapon is said to be a withered branch of the Erdtree.>>Imbued with holy power, this weapon will never snap."
Generate ESB ItemName:,Great Corvian Scythe,and it's \nDescription: ,"Great scythe of the forlorn souls guided by heretical storytellers. The Mistress of the Painted World is said to wield a great scythe herself. Great scythes inflict profuse bleeding, such that the blood splatters on the wielder.>>Skill: Neck Swipe>>This attack aims for the scruff of a foe's neck, and when successful, functions as a head shot, inflicting heavy damage."
Generate ESB ItemName:,Great Épée,and it's \nDescription: ,"Large rapier featuring a thin, sharp blade. Commonly used in life or death duels.>>Like its smaller counterparts, its made for thrusting attacks, and can be used while guarding with a shield."
Generate ESB ItemName:,Great Knife,and it's \nDescription: ,"Large knife with a broad, curved blade.>>This weapon is designed to Spinning Slash and rend, inflicting blood loss upon the recipient."
Generate ESB ItemName:,Great Lord Greatsword,and it's \nDescription: ,Greatsword born from the soul of Gwyn Lord of Cinder. As bearer of the ultimate soul Gwyn wielded the bolts of the sun but before linking the fire divided that power amongst his children and set off with only this greatsword as his companion
Generate ESB ItemName:,Great Mace,and it's \nDescription: ,Large mace wielded by the knights of the Cathedral of the Deep.>>The extremely heavy strike attacks of this weapon are devastating and will break weaker shields with a single blow. Wielding such a weapon will require inhuman strength.>>Skill: Perseverance>>Anchor weapon in earth to temporarily boost poise. Damage reduced while activated.
Generate ESB ItemName:,Great Mace,and it's \nDescription: ,"Huge bludgeon with sharp protrusions. An enlarged version of its smaller cousin.>>Maintains all the advantages of smaller bludgeons, boasting few deficiencies while being very capable at breaking enemy guards and stances. A shrewd choice for simple slugging matches."
Generate ESB ItemName:,Great Machete,and it's \nDescription: ,Created by strapping a large blade to a hilt. A crude makeshift weapon with low durability.>>Primitive weapons can be more effective at evoking fear than more advanced efforts. Perhaps this is why the wielder chose this fearsome creation.
Generate ESB ItemName:,Great Machete,and it's \nDescription: ,"This giant machete has a slash attack, and is a worker's tool in the Undead Settlement.>>This dismantling tool was not originally intended for use in battle.>>Skill: Sharpen>>Scrape the blade to sharpen and enable a cleaner cut."
Generate ESB ItemName:,Great Omenkiller Cleaver,and it's \nDescription: ,"The blade of this huge, loathsome cleaver comprises a row of amputated Omen horns. Weapon of slaughter wielded by Omen killers.>>The hideous horns cause blood loss, adding vibrant colors to the ongoing mayhem."
Generate ESB ItemName:,Great Scythe,and it's \nDescription: ,Weapon with a long curved blade. Converted from a wheat-harvesting tool. The magnificent sharp curved blade instills fear in opponents. Perhaps it is their survival instinct at work.
Generate ESB ItemName:,Great Scythe,and it's \nDescription: ,"A great scythe used to harvest grain.>>Normally used as a farm tool, not a weapon. It feels almost as if there were powers in its giant blade, perhaps drawn from the fears of those hunted by this fearsome thing."
Generate ESB ItemName:,Great Scythe,and it's \nDescription: ,"Attacks with this large scythe, normally used for crop harvesting, are effective at breaking past shields.>>The magnificent sharp curved blade instills fear in opponents. Perhaps it is their survival instinct at work.>>Skill: Neck Swipe>>This attack aims for the scruff of a foe's neck, and when successful, functions as a head shot, inflicting heavy damage."
Generate ESB ItemName:,Great Stars,and it's \nDescription: ,"Huge bludgeon with three stars at the striking end. Though primarily a striking weapon, the stars' spikes cause blood loss.>>A blood-stained star is an ill omen, a fact not lost upon those against whom this weapon is brought to bear. Landing attacks slightly restores HP."
Generate ESB ItemName:,Great Stars,and it's \nDescription: ,"Huge bludgeon with three stars at the striking end. Though primarily a striking weapon, the stars' spikes cause blood loss.>>A blood-stained star is an ill omen, a fact not lost upon those against whom this weapon is brought to bear. Landing attacks slightly restores HP."
Generate ESB ItemName:,Great Wooden Hammer,and it's \nDescription: ,"This giant wooden hammer is a worker's tool in the Undead Settlement. Intended to grind flesh and bone to prepare for burial, rather than use in battle."
Generate ESB ItemName:,Greataxe,and it's \nDescription: ,This greataxe is a veritable mass of iron. Its weight sends foes flying but makes it difficult to handle without inhuman strength. Any miss makes one very vulnerable as each swing requires the full force of the body
Generate ESB ItemName:,Greathorn Hammer,and it's \nDescription: ,Huge thick horn carved with tree ring-like markings adapted into a bludgeoning weapon. Wielded by ancestral follower warriors.>>The ancient horn is imbued with the power of ancestral spirits. A small amount of HP is restored upon defeating an enemy
Generate ESB ItemName:,Greatlance,and it's \nDescription: ,"This lance features a long pole, and was originally intended to be used by knights for jousting.>>This weapon is primarily used in charging attacks, and would require tremendous strength and dexterity to be handled by a mere foot soldier.>>Skill: Charge>>Hold lance at waist and charge at foe. Use strong attack while charging to extend the length of the charge."
Generate ESB ItemName:,Ultra Greatsword,and it's \nDescription: ,"This ultra greatsword, with its thick blade, is one of the heaviest of its kind.>>Highly destructive if intolerably heavy.>>There would appear to be some credence to the rumors that this sword tested the true limits of human strength."
Generate ESB ItemName:,Greatsword,and it's \nDescription: ,"A coarse iron lump of an ultra greatsword.>>Mows down foes by utilizing its incredible weight.>>Though handling it likely requires the wielder to have surpassed the realm of the merely human,>>it is precisely for this reason the weapon is used to slaughter even inhuman foes."
Generate ESB ItemName:,Greatsword of Artorias,and it's \nDescription: ,Sword born from the soul of the great grey wolf Sif guardian of the grave of the Abysswalker Knight Artorias. Sir Artorias hunted the Darkwraiths and his sword strikes harder against dark servants
Generate ESB ItemName:,Greatsword of Artorias (Cursed),and it's \nDescription: ,Sword born from the souls of the great grey wolf Sif guardian of the grave of the Abysswalker Knight Artorias. The sword can damage ghosts as it was cursed when Artorias joined a covenant with the creatures of the Abyss
Generate ESB ItemName:,Greatsword of the Forlorn,and it's \nDescription: ,"Greatsword of the Forlorn, who wander the land of the Undead.>>The King's elder brother Aldia sought to overcome the curse through means unalike his sibling's.>>The Forlorn were born of Aldia's sinful infatuation."
Generate ESB ItemName:,Grossmesser,and it's \nDescription: ,Curved sword boasting a large blade. This weapon is designed to make use of its weight in combination with its sharp cutting edge. A thoroughly reliable choice of weapon for those who can master its particulars.
Generate ESB ItemName:,Guardian Tail,and it's \nDescription: ,"Sliced tail of the Sanctuary Guardian. This flexible, spiked and highly poisonous tail would make a rather obnoxious weapon."
Generate ESB ItemName:,Gundyr's Halberd,and it's \nDescription: ,"Halberd of Gundyr the Champion, received when he was charged with his duty.>>This old cast-iron halberd has the power to break poise, and is said to never crumble, seeming to suggest that Gundyr was fated to eternal service from the beginning."
Generate ESB ItemName:,Gyrm Axe,and it's \nDescription: ,"An axe used by the nomadic Gyrm.>>At first glance this axe appears crude, but with further examination one sees the fine craftsmanship of Gyrm blacksmiths. Quite heavy for a human, but flung about with reckless abandon by the Gyrm."
Generate ESB ItemName:,Gyrm Great Hammer,and it's \nDescription: ,"A great hammer used by the nomadic Gyrm.>>A makeshift weapon created from a blacksmith's anvil.>>As heavy as it appears.>>Crafted rather shoddily, but each hit landed is certain to inflict serious damage."
Generate ESB ItemName:,Gyrm Greataxe,and it's \nDescription: ,"A greataxe used by the nomadic Gyrm.>>At first glance this greataxe appears crude, but with further examination one sees the fine craftsmanship of Gyrm blacksmiths. Quite heavy for a human, but swung about with reckless abandon by the Gyrm."
Generate ESB ItemName:,Halberd,and it's \nDescription: ,Long-hilted weapon mixing spear and axe is difficult to handle requiring both strength and dexterity. The Halberd has two elementary attacks: Spear-like thrusting and large sweeping swings. However one false swing and the wielder is left wide open
Generate ESB ItemName:,Halo Scythe,and it's \nDescription: ,"War scythe of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella.>>This was the weapon of commanders in Malenia's army, and the half-halo blade deals holy damage."
Generate ESB ItemName:,Hammer,and it's \nDescription: ,Hammer comprised of a large stone affixed to a metal handle.>>Originally a blacksmith's tool.>>The art of smithing is said to have originated among the giants.>>This weapon's striking attacks boast ample weight behind them.
Generate ESB ItemName:,Hammer of Vamos,and it's \nDescription: ,Metal hammer of Vamos a skeleton blacksmith deep within the Catacombs who rarely speaks. Can be used as a strike weapon but better left in the hands of its talented owner
Generate ESB ItemName:,Hand Axe,and it's \nDescription: ,Small hand axe. Appears identical to a lumberjack's tool but has an ideal weight and strength and is easy to handle. One wrong swing leaves the wielder wide open so timing and proximity to the enemy must be judged carefully
Generate ESB ItemName:,Hand of Malenia,and it's \nDescription: ,Blade built into Malenia's prosthetic arm.>>Through consecration it is resistant to rot.>>Malenia's war prosthesis symbolized her victories.>>Some claim to have seen wings when the weapon was raised aloft;>>wings of fierce determination that have never known defeat.
Generate ESB ItemName:,Handmaid's Dagger,and it's \nDescription: ,Dagger used by handmaids of the Profaned Capital. Each successful attack replenishes a slight amount of FP.>>It is said that these women took pleasure in wounding others.
Generate ESB ItemName:,Handmaid's Ladle,and it's \nDescription: ,"He who chooses this as a weapon either faces extenuating circumstances or has an odd sense of humor. If you care for your life, leave this one in the kitchen."
Generate ESB ItemName:,Harald Curved Greatsword,and it's \nDescription: ,"Giant gold-decorated curved sword wielded by warriors of the Harald Legion, who sought the dark soul.>>The swords sank into the dark with the legion, where their blades were severely corroded.>>Skill: Sever>>Hold the giant blade with both hands and slash repeatedly at foe's feet"
Generate ESB ItemName:,Harp Bow,and it's \nDescription: ,"Bow fashioned from a minstrel's harp. Sonorous tones still resound when firing arrows.>>Troubadours sing tales of champions, both in the honorable service of the Erdtree, and the one who spurns honor for blasphemy."
Generate ESB ItemName:,Harpe,and it's \nDescription: ,"The large sickle-shaped body, used for severing corpses, is a worker’s tool in the Undead Settlement.>>The sharp edge is on the inside of the weapon, itself designed for cutting and pulling, thus allowing for good damage against shielded foes."
Generate ESB ItemName:,Heavy Crossbow,and it's \nDescription: ,"Powerful large crossbow. While bows require both hands, a crossbow is held in one, but arming each bolt takes time."
Generate ESB ItemName:,Heide Greatlance,and it's \nDescription: ,"A lance originating in Heide. A special alloy makes it very durable. The tip of the lance has been extended.>>The composition of the alloy of these lances remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel.>>Lances are normally wielded by mounted knights and it takes considerable training to handle one on the ground."
Generate ESB ItemName:,Heide Knight Sword,and it's \nDescription: ,"Straight sword originating in Heide, A special alloy makes it very durable.>>The composition of the alloy of these swords remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel."
Generate ESB ItemName:,Heidi Lance,and it's \nDescription: ,"A lance originating in Heide. A special alloy makes it very durable.>>The composition of the alloy of these lances remains a mystery, but in Drangleic the attempt to imitate it resulted in the similar bradden steel.>>Lances are normally wielded by mounted knights, and it takes considerable training to handle one on the ground."
Generate ESB ItemName:,Helix Halberd,and it's \nDescription: ,"An undated halberd.>>Wielded by a warrior from a time so ancient that there exists no record of his endeavors. Has extremely low durability. Sometimes, just as a thing falls to pieces, it unleashes its last flash of great power..."
Generate ESB ItemName:,Helphen's Steeple,and it's \nDescription: ,"Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world.>>The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle."
Generate ESB ItemName:,Heretic's Staff,and it's \nDescription: ,"Catalyst used by generations of heretic sorcerers.>>Sorcery is a logical academic discipline, and the power of sorceries depends heavily on the caster's intelligence.>>Skill: Steady Chant>>Boost the strength of sorceries for a very short period. Works while equipped in either hand."
Generate ESB ItemName:,Heysel Pick,and it's \nDescription: ,"Choice weapon of Yellowfinger Heysel, a Finger of Rosaria and xanthous scholar.>>It`s both a weapon and sorcery staff. The gold specks are remnants of lost sorceries."
Generate ESB ItemName:,Highland Axe,and it's \nDescription: ,Single-sided axe used by the warriors of the highlands. Brave combatants begin battle by crying out their names. Roars are enhanced by this weapon.
Generate ESB ItemName:,Hollowslayer Greatsword,and it's \nDescription: ,"Greatsword used for a lifetime by a masked knight. Harbors the fears that lurk within the mind of Hollows, and is particularly effective against them.>>Bestowed to a proper Mirrah knight long ago. Two-hand to execute special sword techniques."
Generate ESB ItemName:,Holy Moonlight Sword,and it's \nDescription: ,"An arcane sword discovered long ago by Ludwig. When blue moonlight dances around the sword, and it channels the abyssal cosmos, its great blade will hurl a shadowy lightwave. The Holy Moonlight Sword is synonymous with Ludwig, the Holy Blade, but few have ever set eyes on the great blade, and whatever guidance it has to offer, it seems to be of a very private, elusive sort."
Generate ESB ItemName:,Homunculus Mace,and it's \nDescription: ,"A pole with lumps attached to it. Found in the manor in Aldia. Heavier than a standard mace, but with more effective striking owing to its hard lumps.>>In the far eastern outskirts of Drangleic lies an old manor that is now long forgotten. As it should be, for the things that lurk there are better left unknown."
Generate ESB ItemName:,Hookclaws,and it's \nDescription: ,"Weapon worn on the fist comprised of sharp parallel blades favored by those who lurk in the dark. Lacerations cause blood loss with great effect. Claw weapons come in pairs, and two-handing this weapon will equip it to both hands."
Generate ESB ItemName:,Horn Bow,and it's \nDescription: ,Longbow made from animal horn. Wielded by the master hunters of the ancestral followers. Imbues arrows fired with magic damage.>>Reveals its true worth when used with magic-infused arrows.
Generate ESB ItemName:,Horn Bow,and it's \nDescription: ,Longbow made from animal horn. Wielded by the master hunters of the ancestral followers. Imbues arrows fired with magic damage.>>Reveals its true worth when used with magic-infused arrows.
Generate ESB ItemName:,Hoslow's Petal Whip,and it's \nDescription: ,"Metal whip formed of razor-sharp chain-link blades that have the>>appearance of flower petals. This work of art is handed down>>though the generations of the illustrious House Hoslow.>>High dexterity is required to wield this weapon,>>but it excels at inflicting devastation"
Generate ESB ItemName:,Hunter Axe,and it's \nDescription: ,"One of the trick weapons of the workshop, commonly used on the hunt. Retains the qualities of an axe, but offers a wider palette of attacks by transforming. Boasts a heavy blunt attack, leading to high rally potential. No matter their pasts, beasts are no more than beasts. Some choose this axe to play the part of executioner."
Generate ESB ItemName:,Hunter's Blackbow,and it's \nDescription: ,"A black bow designed for long distances. Difficult to handle at first, and requiring some amount of practice to master.>>The hunting Goddess Evlana was no goddess at all, but rather a brave and highly skilled bow huntress. Long after her demise, the passing of lore transformed her into a deity."
Generate ESB ItemName:,Iaito,and it's \nDescription: ,"Katana forged in an Eastern land. The Katana is drawn from the scabbard at lightning speed, using an Iaijutsu technique. Iaijutsu allows the wielder to charge forward to swiftly cut down distant foes"
Generate ESB ItemName:,Ice Rapier,and it's \nDescription: ,"Rapiers wielded by sorcerers of Eleum Loyce, imbued with a magic that is released with a strong attack.>>A great protective wall was erected to protect Eleum Loyce from the encroaching chaos, and these sorcerers were amongst its defenders."
Generate ESB ItemName:,Icerind Hatchet,and it's \nDescription: ,"A hatchet with a frost-coated blade. One of several gifts given by>>Castle Sol in the distant north.>>Known as ""freezing fog,"" the blade is thought to be a dragon's>>scale. Inflicts a powerful frost effect."
Generate ESB ItemName:,Idol's Chime,and it's \nDescription: ,"Sacred chime of Licia of Lindelt. A catalyst for miracles and hexes.>>In any town there will be a few folk with unusual urges. They either endeavor to resist these urges, or act upon them out of the view of others. The world is not so welcoming they may bare their souls true."
Generate ESB ItemName:,Immolation Tinder,and it's \nDescription: ,"Profaned Flame wielded by the Irithyllian witches, frigid spirits roaming the Boreal Valley.>>This torch, both a weapon and a staff, is enshrouded in an everlasting flame.>>Skill: Punitive Flame>>Punish foes with a flame that blankets the ground."
Generate ESB ItemName:,Infantry Axe,and it's \nDescription: ,"An axe wielded by Drangleic infantry.>>A makeshift, crude weapon that deals an underwhelming amount of damage."
Generate ESB ItemName:,Inquisitor's Girandole,and it's \nDescription: ,"Instrument of torture used on nobles behind the curtain at the Volcano Manor of Mt. Gelmir.>>Its numerous spikes pierce the flesh, then singe the wounds with>>flame. The smell of burnt blood induces despair in the victim. A>>candlestick conveived by a thorough mind."
Generate ESB ItemName:,Inseparable Sword,and it's \nDescription: ,"Sword forged by compounding silver and gold.>>A sacred weapon to hunt Those Who Live in Death.>>Deals holy damage.>>The inseparable twins found solace in the Golden Order,>>the only institution not to revile them as accursed beings."
Generate ESB ItemName:,Irithyll Rapier,and it's \nDescription: ,"Thrusting sword bestowed upon the Outrider Knights of the Boreal Valley. This weapon is shrouded in frost, and causes frostbite.>>Every Outrider Knight one day devolves into a beast, constantly hounded by Pontiff Sulyvahn's black eyes.>>Skill: Shield Splitter>>Aim carefully, and attack in a large forward lunge to pierce through enemy shields and inflict damage directly."
Generate ESB ItemName:,Irithyll Straight Sword,and it's \nDescription: ,".Straight sword bestowed upon the Outrider Knights of the Boreal Valley. This weapon is enshrouded in frost, and causes frostbite.>>Every Outrider Knight one day devolves into a beast, constantly hounded by Pontiff Sulyvahn's black eyes."
Generate ESB ItemName:,Iron Ball,and it's \nDescription: ,"Iron manifer of spherical shape. Big Boggart the blackguard's weapon of choice.>>Not a weapon to be taken lightly, as its weighty blows shatter bones with ease."
Generate ESB ItemName:,Iron Cleaver,and it's \nDescription: ,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes."
Generate ESB ItemName:,Iron Greatsword,and it's \nDescription: ,"Greatsword with a blade of unusually thick steel.>>A coarse weapon to which polishing is a foreign concept.>>Weighty even among others of its class, the impact of each strike is sure to be felt."
Generate ESB ItemName:,Iron King Hammer,and it's \nDescription: ,"Great hammer forged from the soul of the Old Iron King.>>The tip is formed of molten rock.>>The corpse of the Old Iron King became the vessel that bred Ichorous Earth.>>The heavy rock tip is formed of cooled magma, with a still-smoldering core."
Generate ESB ItemName:,Iron Spear,and it's \nDescription: ,Commonly used iron spear with no notable traits.>>The blade is severely rusted.
Generate ESB ItemName:,Ivory King Ultra Greatsword,and it's \nDescription: ,"Ultra Greatsword of the Ivory King of Eleum Loyce.>>Wield with both hands to realize its full strength.>>It is said that the Ivory King was once the highest ranking knight in his home of Forossa, famed for its god of war.>>After taking his crown, they say he was the first to swing his sword in times of need, be it for his homeland or his people."
Generate ESB ItemName:,Ivory Sickle,and it's \nDescription: ,"Sickle fashioned form ivory. Weapon carried by aged Albunaurics.>>These weapons are evidence of their dedication to the Haligtree, despite never having entered its presence."
Generate ESB ItemName:,Ivory Straight Sword,and it's \nDescription: ,".Sword of Fabian, knight of Eleum Loyce.>>This blade, crafted with ivory ore native to the land, harnesses souls to slash at foes.>>Sir Fabian led the loyal knights of Eleum Loyce straight into the depths of chaos to exterminate the terrible things that dwelled there, but not one of the selfless knights returned"
Generate ESB ItemName:,Ivory Talisman,and it's \nDescription: ,Medium for casting miracles of the Gods. Ivory Talismans are granted only to female clerics and their value is affected dramatically by their owner's faith.
Generate ESB ItemName:,Izalith Catalyst,and it's \nDescription: ,"Catalyst of the Witch of Izalith of long ago, when her daughters were still flame witches, before they were engulfed by the Chaos Flame. Before the birth of pyromancy, their wands were mediums for sorcery, but knowledge of this flame sorcery has long since vanished."
Generate ESB ItemName:,Jagged Ghost Blade,and it's \nDescription: ,Jagged blade wielded by New Londo ghosts. Violent thrust attack. One of the cursed weapons. Inflicts damage to ghosts.
Generate ESB ItemName:,Jawbone Axe,and it's \nDescription: ,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal.>>This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage."
Generate ESB ItemName:,Katar,and it's \nDescription: ,Imported dagger design with a rather unique handle. The blade can be swung about as the extension of one's fist.
Generate ESB ItemName:,Key to the Embedded,and it's \nDescription: ,"Sword that opens the Embedded's door.>>Shaped like a weapon, but is in fact a key.>>Plunge the key into the Embedded>>to bring a rhapsodic end to his fate.>>The once-human Embedded, realizing that he>>could never resist the temptation of the flesh,>>bound himself eternally with chains. Since then,>>he has awaited the day that somebody will>>find this key, and bury it within his bosom."
Generate ESB ItemName:,King's Ultra Greatsword,and it's \nDescription: ,"An ultra greatsword forged from the soul of King Vendrick.>>Inflicts heavy damage on enemy armor.>>Only the king knows whether the depiction of the Queen is a resentful mockery, or an affectionate exaltation."
Generate ESB ItemName:,Kirkhammer,and it's \nDescription: ,"A trick weapon typically used by Healing Church hunters. On the one side, an easily handled silver sword. On the other, a giant obtuse stone weapon, characterized by a blunt strike and extreme force of impact. The Church takes a heavy-handed, merciless stance toward the plague of beasts, an irony not lost upon the wielders of this most symbolic weapon."
Generate ESB ItemName:,Knight's Crossbow,and it's \nDescription: ,"Crossbow used by the proud knights of Lothric. It bears an elaborate gold design.>>The crossbow has been blessed with the power of lightning, in anticipation of the use of Lightning Bolts."
Generate ESB ItemName:,Knight's Greatsword,and it's \nDescription: ,"Greatsword bestowed upon skilled swordsmen in the demigods' service, and yet had no rank or title.>>Featuring a long grip enabling a dual-handed use, this weapon was designed to dispatch larger foes. Being charged with such a duty was undoubtedly a great honor."
Generate ESB ItemName:,Kos Parasite,and it's \nDescription: ,"When the carcass of Kos washed up on the coast, its insides were teeming with tiny parasites, unlike any found in humans. This atypical weapon can only be clasped tight and swung, but a Kos Parasite is said to stimulate phantasms inhabiting a lumenwood"
Generate ESB ItemName:,Large Club,and it's \nDescription: ,Large wooden club. The giant Undead of Blighttown wield these clubs which became poisonous from the influence of their surroundings
Generate ESB ItemName:,Large Club,and it's \nDescription: ,"A large wooden club.>>Not an elegant weapon by any means, but a beastly thing with plenty of weight to easily break a shielded defense."
Generate ESB ItemName:,Lazuli Glintstone Sword,and it's \nDescription: ,"A sword with a glintstone in its handguards. Wielded by scholars of the Lazuli Conspectus who seek to master Carian sorcery. Deals magic damage.>>Apparently once used as a staff of sorcery, this sword is made of wood."
Generate ESB ItemName:,Ledo's Great Hammer,and it's \nDescription: ,"Great Hammer wielded by the Silver Knight Ledo. Ledo's hammer is by far the heaviest weapon amongst those wielded by the knights of Anor Londo.>>Ledo, an eccentric who traveled aross the outskirts, became a close friend to the giants and even Havel, the Rock."
Generate ESB ItemName:,Lifehunt Scythe,and it's \nDescription: ,Scythe born from the soul of Priscilla the stark white crossbreed trapped inside the painted world of Ariamis. Even the Gods feared Priscilla's lifehunt ability and in the hands of a mortal its power will turn upon its wielder.
